Time(sec)	CellId	BwpId	txStreamId 	IMSI	rxStreamId	pathLoss(dB)
0	1	0	0	1	0	-81.3827
0	1	0	0	2	0	-81.4474
0	1	0	0	3	0	-81.1762
0	1	0	0	4	0	-81.3384
0	1	0	0	5	0	-81.1242
0	1	0	0	6	0	-80.8887
0	1	0	0	7	0	-80.9761
0	1	0	0	8	0	-80.9118
0.005	1	0	0	1	0	-81.3827
0.005	1	0	0	2	0	-81.4474
0.005	1	0	0	3	0	-81.1762
0.005	1	0	0	4	0	-81.3384
0.005	1	0	0	5	0	-81.1242
0.005	1	0	0	6	0	-80.8887
0.005	1	0	0	7	0	-80.9761
0.005	1	0	0	8	0	-80.9118
0.01	1	0	0	1	0	-81.3827
0.01	1	0	0	2	0	-81.4474
0.01	1	0	0	3	0	-81.1762
0.01	1	0	0	4	0	-81.3384
0.01	1	0	0	5	0	-81.1242
0.01	1	0	0	6	0	-80.8887
0.01	1	0	0	7	0	-80.9761
0.01	1	0	0	8	0	-80.9118
0.015	1	0	0	1	0	-81.3827
0.015	1	0	0	2	0	-81.4474
0.015	1	0	0	3	0	-81.1762
0.015	1	0	0	4	0	-81.3384
0.015	1	0	0	5	0	-81.1242
0.015	1	0	0	6	0	-80.8887
0.015	1	0	0	7	0	-80.9761
0.015	1	0	0	8	0	-80.9118
0.01625	1	0	0	1	0	-81.3827
0.01625	1	0	0	2	0	-81.4474
0.01625	1	0	0	3	0	-81.1762
0.01625	1	0	0	4	0	-81.3384
0.01625	1	0	0	5	0	-81.1242
0.01625	1	0	0	6	0	-80.8887
0.01625	1	0	0	7	0	-80.9761
0.01625	1	0	0	8	0	-80.9118
0.016375	1	0	0	1	0	-81.3827
0.016375	1	0	0	2	0	-81.4474
0.016375	1	0	0	3	0	-81.1762
0.016375	1	0	0	4	0	-81.3384
0.016375	1	0	0	5	0	-81.1242
0.016375	1	0	0	6	0	-80.8887
0.016375	1	0	0	7	0	-80.9761
0.016375	1	0	0	8	0	-80.9118
0.0165	1	0	0	1	0	-81.3827
0.0165	1	0	0	2	0	-81.4474
0.0165	1	0	0	3	0	-81.1762
0.0165	1	0	0	4	0	-81.3384
0.0165	1	0	0	5	0	-81.1242
0.0165	1	0	0	6	0	-80.8887
0.0165	1	0	0	7	0	-80.9761
0.0165	1	0	0	8	0	-80.9118
0.0175625	1	0	0	1	0	-81.3827
0.0175625	1	0	0	2	0	-81.4474
0.0175625	1	0	0	3	0	-81.1762
0.0175625	1	0	0	4	0	-81.3384
0.0175625	1	0	0	5	0	-81.1242
0.0175625	1	0	0	6	0	-80.8887
0.0175625	1	0	0	7	0	-80.9761
0.0175625	1	0	0	8	0	-80.9118
0.01775	1	0	0	1	0	-81.3827
0.01775	1	0	0	2	0	-81.4474
0.01775	1	0	0	3	0	-81.1762
0.01775	1	0	0	4	0	-81.3384
0.01775	1	0	0	5	0	-81.1242
0.01775	1	0	0	6	0	-80.8887
0.01775	1	0	0	7	0	-80.9761
0.01775	1	0	0	8	0	-80.9118
0.0184375	1	0	0	1	0	-81.3827
0.0184375	1	0	0	2	0	-81.4474
0.0184375	1	0	0	3	0	-81.1762
0.0184375	1	0	0	4	0	-81.3384
0.0184375	1	0	0	5	0	-81.1242
0.0184375	1	0	0	6	0	-80.8887
0.0184375	1	0	0	7	0	-80.9761
0.0184375	1	0	0	8	0	-80.9118
0.01875	1	0	0	1	0	-81.3827
0.01875	1	0	0	2	0	-81.4474
0.01875	1	0	0	3	0	-81.1762
0.01875	1	0	0	4	0	-81.3384
0.01875	1	0	0	5	0	-81.1242
0.01875	1	0	0	6	0	-80.8887
0.01875	1	0	0	7	0	-80.9761
0.01875	1	0	0	8	0	-80.9118
0.019125	1	0	0	1	0	-81.3827
0.019125	1	0	0	2	0	-81.4474
0.019125	1	0	0	3	0	-81.1762
0.019125	1	0	0	4	0	-81.3384
0.019125	1	0	0	5	0	-81.1242
0.019125	1	0	0	6	0	-80.8887
0.019125	1	0	0	7	0	-80.9761
0.019125	1	0	0	8	0	-80.9118
0.02	1	0	0	1	0	-81.3827
0.02	1	0	0	2	0	-81.4474
0.02	1	0	0	3	0	-81.1762
0.02	1	0	0	4	0	-81.3384
0.02	1	0	0	5	0	-81.1242
0.02	1	0	0	6	0	-80.8887
0.02	1	0	0	7	0	-80.9761
0.02	1	0	0	8	0	-80.9118
0.0203125	1	0	0	1	0	-81.3827
0.0203125	1	0	0	2	0	-81.4474
0.0203125	1	0	0	3	0	-81.1762
0.0203125	1	0	0	4	0	-81.3384
0.0203125	1	0	0	5	0	-81.1242
0.0203125	1	0	0	6	0	-80.8887
0.0203125	1	0	0	7	0	-80.9761
0.0203125	1	0	0	8	0	-80.9118
0.021375	1	0	0	1	0	-81.3827
0.021375	1	0	0	2	0	-81.4474
0.021375	1	0	0	3	0	-81.1762
0.021375	1	0	0	4	0	-81.3384
0.021375	1	0	0	5	0	-81.1242
0.021375	1	0	0	6	0	-80.8887
0.021375	1	0	0	7	0	-80.9761
0.021375	1	0	0	8	0	-80.9118
0.0215	1	0	0	1	0	-81.3827
0.0215	1	0	0	2	0	-81.4474
0.0215	1	0	0	3	0	-81.1762
0.0215	1	0	0	4	0	-81.3384
0.0215	1	0	0	5	0	-81.1242
0.0215	1	0	0	6	0	-80.8887
0.0215	1	0	0	7	0	-80.9761
0.0215	1	0	0	8	0	-80.9118
0.0225625	1	0	0	1	0	-81.3827
0.0225625	1	0	0	2	0	-81.4474
0.0225625	1	0	0	3	0	-81.1762
0.0225625	1	0	0	4	0	-81.3384
0.0225625	1	0	0	5	0	-81.1242
0.0225625	1	0	0	6	0	-80.8887
0.0225625	1	0	0	7	0	-80.9761
0.0225625	1	0	0	8	0	-80.9118
0.02275	1	0	0	1	0	-81.3827
0.02275	1	0	0	2	0	-81.4474
0.02275	1	0	0	3	0	-81.1762
0.02275	1	0	0	4	0	-81.3384
0.02275	1	0	0	5	0	-81.1242
0.02275	1	0	0	6	0	-80.8887
0.02275	1	0	0	7	0	-80.9761
0.02275	1	0	0	8	0	-80.9118
0.0234375	1	0	0	1	0	-81.3827
0.0234375	1	0	0	2	0	-81.4474
0.0234375	1	0	0	3	0	-81.1762
0.0234375	1	0	0	4	0	-81.3384
0.0234375	1	0	0	5	0	-81.1242
0.0234375	1	0	0	6	0	-80.8887
0.0234375	1	0	0	7	0	-80.9761
0.0234375	1	0	0	8	0	-80.9118
0.02375	1	0	0	1	0	-81.3827
0.02375	1	0	0	2	0	-81.4474
0.02375	1	0	0	3	0	-81.1762
0.02375	1	0	0	4	0	-81.3384
0.02375	1	0	0	5	0	-81.1242
0.02375	1	0	0	6	0	-80.8887
0.02375	1	0	0	7	0	-80.9761
0.02375	1	0	0	8	0	-80.9118
0.024125	1	0	0	1	0	-81.3827
0.024125	1	0	0	2	0	-81.4474
0.024125	1	0	0	3	0	-81.1762
0.024125	1	0	0	4	0	-81.3384
0.024125	1	0	0	5	0	-81.1242
0.024125	1	0	0	6	0	-80.8887
0.024125	1	0	0	7	0	-80.9761
0.024125	1	0	0	8	0	-80.9118
0.025	1	0	0	1	0	-81.3827
0.025	1	0	0	2	0	-81.4474
0.025	1	0	0	3	0	-81.1762
0.025	1	0	0	4	0	-81.3384
0.025	1	0	0	5	0	-81.1242
0.025	1	0	0	6	0	-80.8887
0.025	1	0	0	7	0	-80.9761
0.025	1	0	0	8	0	-80.9118
0.0253125	1	0	0	1	0	-81.3827
0.0253125	1	0	0	2	0	-81.4474
0.0253125	1	0	0	3	0	-81.1762
0.0253125	1	0	0	4	0	-81.3384
0.0253125	1	0	0	5	0	-81.1242
