Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.0161205	UE  PHY Txed	1	6	1	2	0	0	RACH_PREAMBLE
0.0161205	UE  PHY Txed	1	6	1	2	0	0	RACH_PREAMBLE
0.0161205	UE  PHY Txed	1	6	1	2	0	0	RACH_PREAMBLE
0.0161205	UE  PHY Txed	1	6	1	2	0	0	RACH_PREAMBLE
0.0161205	UE  PHY Txed	1	6	1	2	0	0	RACH_PREAMBLE
0.0161205	UE  PHY Txed	1	6	1	2	0	0	RACH_PREAMBLE
0.0161205	UE  PHY Txed	1	6	1	2	0	0	RACH_PREAMBLE
0.0161205	UE  PHY Txed	1	6	1	2	0	0	RACH_PREAMBLE
0.0165536	UE  PHY Txed	1	6	8	2	6	0	SRS
0.0166786	UE  PHY Txed	1	6	10	2	4	0	SRS
0.0177411	UE  PHY Txed	1	7	11	2	7	0	SRS
0.0179286	UE  PHY Txed	1	7	14	2	3	0	SRS
0.0186161	UE  PHY Txed	1	8	9	2	8	0	SRS
0.0189286	UE  PHY Txed	1	8	14	2	5	0	SRS
0.0193036	UE  PHY Txed	1	9	4	2	2	0	SRS
0.0204911	UE  PHY Txed	2	0	7	2	1	0	SRS
0.0215536	UE  PHY Txed	2	1	8	2	6	0	SRS
0.0216786	UE  PHY Txed	2	1	10	2	4	0	SRS
0.0227411	UE  PHY Txed	2	2	11	2	7	0	SRS
0.0229286	UE  PHY Txed	2	2	14	2	3	0	SRS
0.0236161	UE  PHY Txed	2	3	9	2	8	0	SRS
0.0239286	UE  PHY Txed	2	3	14	2	5	0	SRS
0.0243036	UE  PHY Txed	2	4	4	2	2	0	SRS
0.0254911	UE  PHY Txed	2	5	7	2	1	0	SRS
0.0265536	UE  PHY Txed	2	6	8	2	6	0	SRS
0.0266786	UE  PHY Txed	2	6	10	2	4	0	SRS
0.0277411	UE  PHY Txed	2	7	11	2	7	0	SRS
0.0279286	UE  PHY Txed	2	7	14	2	3	0	SRS
0.0286161	UE  PHY Txed	2	8	9	2	8	0	SRS
0.0289286	UE  PHY Txed	2	8	14	2	5	0	SRS
0.0293036	UE  PHY Txed	2	9	4	2	2	0	SRS
0.0304911	UE  PHY Txed	3	0	7	2	1	0	SRS
0.0315536	UE  PHY Txed	3	1	8	2	6	0	SRS
0.0316786	UE  PHY Txed	3	1	10	2	4	0	SRS
0.0327411	UE  PHY Txed	3	2	11	2	7	0	SRS
0.0329286	UE  PHY Txed	3	2	14	2	3	0	SRS
0.0336161	UE  PHY Txed	3	3	9	2	8	0	SRS
0.0339286	UE  PHY Txed	3	3	14	2	5	0	SRS
0.0343036	UE  PHY Txed	3	4	4	2	2	0	SRS
0.0354911	UE  PHY Txed	3	5	7	2	1	0	SRS
0.0358705	UE  PHY Txed	3	5	13	2	0	0	DL_HARQ
0.035933	UE  PHY Txed	3	5	14	2	0	0	DL_CQI
0.035933	UE  PHY Txed	3	5	14	2	0	0	DL_HARQ
0.0359955	UE  PHY Txed	3	5	15	2	0	0	DL_CQI
0.0359955	UE  PHY Txed	3	5	15	2	0	0	DL_HARQ
0.036058	UE  PHY Txed	3	6	0	2	0	0	DL_CQI
0.0365536	UE  PHY Txed	3	6	8	2	6	0	SRS
0.0366786	UE  PHY Txed	3	6	10	2	4	0	SRS
0.0377411	UE  PHY Txed	3	7	11	2	7	0	SRS
0.0379286	UE  PHY Txed	3	7	14	2	3	0	SRS
0.0386161	UE  PHY Txed	3	8	9	2	8	0	SRS
0.0389286	UE  PHY Txed	3	8	14	2	5	0	SRS
0.0393036	UE  PHY Txed	3	9	4	2	2	0	SRS
0.0404911	UE  PHY Txed	4	0	7	2	1	0	SRS
0.0415536	UE  PHY Txed	4	1	8	2	6	0	SRS
0.0416786	UE  PHY Txed	4	1	10	2	4	0	SRS
0.0427411	UE  PHY Txed	4	2	11	2	7	0	SRS
0.0429286	UE  PHY Txed	4	2	14	2	3	0	SRS
0.042933	UE  PHY Txed	4	2	14	2	0	0	DL_HARQ
0.0429955	UE  PHY Txed	4	2	15	2	0	0	DL_CQI
0.0436161	UE  PHY Txed	4	3	9	2	8	0	SRS
0.0439286	UE  PHY Txed	4	3	14	2	5	0	SRS
0.0443036	UE  PHY Txed	4	4	4	2	2	0	SRS
0.0454911	UE  PHY Txed	4	5	7	2	1	0	SRS
0.0465536	UE  PHY Txed	4	6	8	2	6	0	SRS
0.0466786	UE  PHY Txed	4	6	10	2	4	0	SRS
0.0477411	UE  PHY Txed	4	7	11	2	7	0	SRS
0.0479286	UE  PHY Txed	4	7	14	2	3	0	SRS
0.0486161	UE  PHY Txed	4	8	9	2	8	0	SRS
0.0489286	UE  PHY Txed	4	8	14	2	5	0	SRS
0.0493036	UE  PHY Txed	4	9	4	2	2	0	SRS
0.0504911	UE  PHY Txed	5	0	7	2	1	0	SRS
0.0515536	UE  PHY Txed	5	1	8	2	6	0	SRS
0.0516786	UE  PHY Txed	5	1	10	2	4	0	SRS
0.0527411	UE  PHY Txed	5	2	11	2	7	0	SRS
0.0529286	UE  PHY Txed	5	2	14	2	3	0	SRS
0.0536161	UE  PHY Txed	5	3	9	2	8	0	SRS
0.0539286	UE  PHY Txed	5	3	14	2	5	0	SRS
0.0543036	UE  PHY Txed	5	4	4	2	2	0	SRS
0.0551205	UE  PHY Txed	5	5	1	2	0	0	DL_HARQ
0.055183	UE  PHY Txed	5	5	2	2	0	0	DL_CQI
0.0554911	UE  PHY Txed	5	5	7	2	1	0	SRS
0.0565536	UE  PHY Txed	5	6	8	2	6	0	SRS
0.0566786	UE  PHY Txed	5	6	10	2	4	0	SRS
0.057683	UE  PHY Txed	5	7	10	2	0	0	DL_HARQ
0.0577411	UE  PHY Txed	5	7	11	2	7	0	SRS
0.0577455	UE  PHY Txed	5	7	11	2	0	0	DL_CQI
0.0579286	UE  PHY Txed	5	7	14	2	3	0	SRS
0.0586161	UE  PHY Txed	5	8	9	2	8	0	SRS
0.0589286	UE  PHY Txed	5	8	14	2	5	0	SRS
0.0593036	UE  PHY Txed	5	9	4	2	2	0	SRS
0.0603705	UE  PHY Txed	6	0	5	2	0	0	DL_HARQ
0.060433	UE  PHY Txed	6	0	6	2	0	0	DL_CQI
0.0604911	UE  PHY Txed	6	0	7	2	1	0	SRS
0.0615536	UE  PHY Txed	6	1	8	2	6	0	SRS
0.0616786	UE  PHY Txed	6	1	10	2	4	0	SRS
0.0627411	UE  PHY Txed	6	2	11	2	7	0	SRS
0.0629286	UE  PHY Txed	6	2	14	2	3	0	SRS
0.0636161	UE  PHY Txed	6	3	9	2	8	0	SRS
0.0639286	UE  PHY Txed	6	3	14	2	5	0	SRS
0.0643036	UE  PHY Txed	6	4	4	2	2	0	SRS
0.0654911	UE  PHY Txed	6	5	7	2	1	0	SRS
0.0661205	UE  PHY Txed	6	6	1	2	0	0	DL_HARQ
0.066183	UE  PHY Txed	6	6	2	2	0	0	DL_CQI
0.0665536	UE  PHY Txed	6	6	8	2	6	0	SRS
0.0666786	UE  PHY Txed	6	6	10	2	4	0	SRS
0.0677411	UE  PHY Txed	6	7	11	2	7	0	SRS
0.0679286	UE  PHY Txed	6	7	14	2	3	0	SRS
0.0686161	UE  PHY Txed	6	8	9	2	8	0	SRS
0.0689286	UE  PHY Txed	6	8	14	2	5	0	SRS
0.0693036	UE  PHY Txed	6	9	4	2	2	0	SRS
0.0704911	UE  PHY Txed	7	0	7	2	1	0	SRS
0.0715536	UE  PHY Txed	7	1	8	2	6	0	SRS
0.0716786	UE  PHY Txed	7	1	10	2	4	0	SRS
0.0727411	UE  PHY Txed	7	2	11	2	7	0	SRS
0.0729286	UE  PHY Txed	7	2	14	2	3	0	SRS
0.0736161	UE  PHY Txed	7	3	9	2	8	0	SRS
0.0739286	UE  PHY Txed	7	3	14	2	5	0	SRS
0.0743036	UE  PHY Txed	7	4	4	2	2	0	SRS
0.0754911	UE  PHY Txed	7	5	7	2	1	0	SRS
0.0765536	UE  PHY Txed	7	6	8	2	6	0	SRS
0.0766786	UE  PHY Txed	7	6	10	2	4	0	SRS
0.0777411	UE  PHY Txed	7	7	11	2	7	0	SRS
0.0779286	UE  PHY Txed	7	7	14	2	3	0	SRS
0.078433	UE  PHY Txed	7	8	6	2	0	0	DL_HARQ
0.0784955	UE  PHY Txed	7	8	7	2	0	0	DL_CQI
0.0786161	UE  PHY Txed	7	8	9	2	8	0	SRS
0.0789286	UE  PHY Txed	7	8	14	2	5	0	SRS
0.0793036	UE  PHY Txed	7	9	4	2	2	0	SRS
0.0804911	UE  PHY Txed	8	0	7	2	1	0	SRS
0.0815536	UE  PHY Txed	8	1	8	2	6	0	SRS
0.0816786	UE  PHY Txed	8	1	10	2	4	0	SRS
0.0827411	UE  PHY Txed	8	2	11	2	7	0	SRS
0.0829286	UE  PHY Txed	8	2	14	2	3	0	SRS
0.0836161	UE  PHY Txed	8	3	9	2	8	0	SRS
0.0839286	UE  PHY Txed	8	3	14	2	5	0	SRS
0.0843036	UE  PHY Txed	8	4	4	2	2	0	SRS
0.0854911	UE  PHY Txed	8	5	7	2	1	0	SRS
0.0865536	UE  PHY Txed	8	6	8	2	6	0	SRS
0.0866786	UE  PHY Txed	8	6	10	2	4	0	SRS
0.0877411	UE  PHY Txed	8	7	11	2	7	0	SRS
0.0879286	UE  PHY Txed	8	7	14	2	3	0	SRS
0.0886161	UE  PHY Txed	8	8	9	2	8	0	SRS
0.0889286	UE  PHY Txed	8	8	14	2	5	0	SRS
0.0893036	UE  PHY Txed	8	9	4	2	2	0	SRS
0.0904911	UE  PHY Txed	9	0	7	2	1	0	SRS
0.0908705	UE  PHY Txed	9	0	13	2	0	0	DL_HARQ
0.090933	UE  PHY Txed	9	0	14	2	0	0	DL_CQI
0.0915536	UE  PHY Txed	9	1	8	2	6	0	SRS
0.0916786	UE  PHY Txed	9	1	10	2	4	0	SRS
0.0927411	UE  PHY Txed	9	2	11	2	7	0	SRS
0.0929286	UE  PHY Txed	9	2	14	2	3	0	SRS
0.0936161	UE  PHY Txed	9	3	9	2	8	0	SRS
0.093808	UE  PHY Txed	9	3	12	2	0	0	DL_HARQ
0.0938705	UE  PHY Txed	9	3	13	2	0	0	DL_CQI
0.0939286	UE  PHY Txed	9	3	14	2	5	0	SRS
